delta: 0.0701234, theta: 0.564588, alpha: 0.0341217, beta: 0.482866, gamma: 0.528011signal: 0
delta: 0.0657947, theta: 0.811677, alpha: 0.855455, beta: 0.636433, gamma: 0.526168signal: 0
delta: 0.961963, theta: 0.71785, alpha: 0.908096, beta: 0.372979, gamma: 0.657183signal: 0
delta: 0.369666, theta: 0.972174, alpha: 0.333607, beta: 0.925805, gamma: 0.00588087signal: 0
delta: 0.498817, theta: 0.618216, alpha: 0.361819, beta: 0.0971166, gamma: 0.238842signal: 0
delta: 0.418033, theta: 0.886067, alpha: 0.130529, beta: 0.805067, gamma: 0.760183signal: 0
delta: 0.299116, theta: 0.244541, alpha: 0.996576, beta: 0.449827, gamma: 0.237877signal: 0
delta: 0.0845292, theta: 0.682971, alpha: 0.696423, beta: 0.786331, gamma: 0.874676signal: 0
delta: 0.428752, theta: 0.0420985, alpha: 0.55034, beta: 0.566444, gamma: 0.222493signal: 0
delta: 0.306047, theta: 0.736345, alpha: 0.755713, beta: 0.269382, gamma: 0.510045signal: 0
delta: 0.845321, theta: 0.312599, alpha: 0.845761, beta: 0.711695, gamma: 0.459899signal: 0
delta: 0.163304, theta: 0.643179, alpha: 0.904283, beta: 0.283522, gamma: 0.153866signal: 0
delta: 0.317569, theta: 0.376045, alpha: 0.185364, beta: 0.415708, gamma: 0.81079signal: 0
delta: 0.0717214, theta: 0.422081, alpha: 0.920945, beta: 0.332067, gamma: 0.0502787signal: 0
delta: 0.946573, theta: 0.0531843, alpha: 0.868698, beta: 0.209883, gamma: 0.50246signal: 0
delta: 0.0666322, theta: 0.887566, alpha: 0.329724, beta: 0.676112, gamma: 0.420085signal: 0
delta: 0.794666, theta: 0.960401, alpha: 0.460757, beta: 0.94269, gamma: 0.78607signal: 0
delta: 0.108059, theta: 0.149496, alpha: 0.578213, beta: 0.0285051, gamma: 0.0859192signal: 0
delta: 0.837771, theta: 0.415636, alpha: 0.597288, beta: 0.616281, gamma: 0.837338signal: 0
delta: 0.831374, theta: 0.912276, alpha: 0.620153, beta: 0.908371, gamma: 0.985982signal: 0
delta: 0.728153, theta: 0.0643951, alpha: 0.288906, beta: 0.641706, gamma: 0.147755signal: 0
delta: 0.123683, theta: 0.741504, alpha: 0.463541, beta: 0.742726, gamma: 0.00469291signal: 0
delta: 0.613551, theta: 0.951304, alpha: 0.566779, beta: 0.861047, gamma: 0.624209signal: 0
delta: 0.764475, theta: 0.526425, alpha: 0.631315, beta: 0.517273, gamma: 0.816072signal: 0
delta: 0.653414, theta: 0.926948, alpha: 0.213912, beta: 0.21868, gamma: 0.347654signal: 0
delta: 0.659896, theta: 0.86993, alpha: 0.909487, beta: 0.747581, gamma: 0.597527signal: 0
delta: 0.619378, theta: 0.892391, alpha: 0.411285, beta: 0.475089, gamma: 0.827081signal: 0
delta: 0.0792716, theta: 0.317189, alpha: 0.994963, beta: 0.34902, gamma: 0.972758signal: 0
delta: 0.987349, theta: 0.376424, alpha: 0.565295, beta: 0.915998, gamma: 0.179758signal: 0
delta: 0.861702, theta: 0.628272, alpha: 0.369399, beta: 0.489238, gamma: 0.620096signal: 0
delta: 0.680181, theta: 0.806485, alpha: 0.593136, beta: 0.842336, gamma: 0.150048signal: 0
